store,category,name,brand,price,promo_price,unit_price,unit,url,scraped_at
Delhaize,Sport en gezondheid,Gerlinéa Drinkmaaltijd | Ijskoffie,Gerlinéa,2.99,,"12,67 €/l",,https://www.delhaize.be/nl/shop/Sport-and-Gezondheid/Diet/Maaltijdvervangers/Drinkmaaltijd-Ijskoffie/p/S2018072400087790000,2026-05-10T15:05:09.257186
Delhaize,Sport en gezondheid,Gerlinéa Drinkmaaltijd | Vanille,Gerlinéa,2.99,,"12,67 €/l",,https://www.delhaize.be/nl/shop/Sport-and-Gezondheid/Diet/Maaltijdvervangers/Drinkmaaltijd-Vanille/p/S2018072300086980000,2026-05-10T15:05:09.784379
Delhaize,Sport en gezondheid,Isostar High protein bar | Hazelnoot,Isostar,2.55,,"72,86 €/kg",,https://www.delhaize.be/nl/shop/Sport-and-Gezondheid/Sportvoeding/Eiwitrijke-snacks/High-protein-bar-Hazelnoot/p/S2007022100206200000,2026-05-10T15:05:10.320473
Delhaize,Sport en gezondheid,Isostar High energy | Banaan,Isostar,4.59,,"38,25 €/kg",,https://www.delhaize.be/nl/shop/Sport-and-Gezondheid/Sportvoeding/Eiwitrijke-snacks/High-energy-Banaan/p/S2008031800051810000,2026-05-10T15:05:10.863458
Delhaize,Sport en gezondheid,Isostar Hydrate&Perform | Citroensmaak,Isostar,9.09,,"22,73 €/kg",,https://www.delhaize.be/nl/shop/Sport-and-Gezondheid/Sportvoeding/Eiwitpoeder/Hydrate-and-Perform-Citroensmaak/p/S2004022000206010000,2026-05-10T15:05:11.408827
Delhaize,Sport en gezondheid,Gerlinéa Reep | Pinda nougat | Maaltijdvervangend,Gerlinéa,4.55,,"39,22 €/kg",,https://www.delhaize.be/nl/shop/Sport-and-Gezondheid/Diet/Snacks/Reep-Pinda-nougat-Maaltijdvervangend/p/S2015091200392340000,2026-05-10T15:05:11.971634
Delhaize,Sport en gezondheid,Biover Vitamine C | Bruistabletten,Biover,4.89,,"0,24 €/st",,https://www.delhaize.be/nl/shop/Sport-and-Gezondheid/Vitaminen-and-supplementen/Vitamine-C-Bruistabletten/p/S2021122000595270000,2026-05-10T15:05:12.533512
Delhaize,Sport en gezondheid,Biover Magnesium forte | Tabs,Biover,10.79,,"0,24 €/st",,https://www.delhaize.be/nl/shop/Sport-and-Gezondheid/Vitaminen-and-supplementen/Magnesium-forte-Tabs/p/S2021122000595160000,2026-05-10T15:05:13.096711
Delhaize,Sport en gezondheid,Gerlinéa Reep | Chocolade-Hazelnoot,Gerlinéa,7.79,,"48,69 €/kg",,https://www.delhaize.be/nl/shop/Sport-and-Gezondheid/Diet/Snacks/Reep-Chocolade-Hazelnoot/p/S2009031700209410000,2026-05-10T15:05:13.669829
Delhaize,Sport en gezondheid,Davitamon Junior Multivitamine | Framboos,Davitamon,21.49,,"0,36 €/st",,https://www.delhaize.be/nl/shop/Sport-and-Gezondheid/Vitaminen-and-supplementen/Junior-Multivitamine-Framboos/p/S2022041900619880000,2026-05-10T15:05:14.239735
