artikel_id,part_number,naam,lange_naam,prijs,prijs_per_eenheid,valuta,beschikbaar,koopbaar,promo,categorie,thumbnail_url,unique_id
4535867,28226-P,HOOGSTRATEN Aardbeien 500g,HOOGSTRATEN Aardbeien 500g,"2,99","5,98",EUR,Y,true,,"Fruit, groenten, aardappelen en noten > Fruit",https://www.collectandgo.be/wcsstore/CollectAndGoSFAS/images/JPG/200x200/std.lang.all/43/50/asset-3764350.jpg,3074457345616846082
29013,29013-P,BONI bananen ±1kg,BONI bananen ±1kg,"1,99","1,99",EUR,Y,true,,"Fruit, groenten, aardappelen en noten > Fruit",https://www.collectandgo.be/wcsstore/CollectAndGoSFAS/images/JPG/200x200/std.lang.all/72/41/asset-3377241.jpg,3074457345616679546
3440812,29018-P,PAPILLON bananen ±1kg,PAPILLON bananen ±1kg,"2,49","2,49",EUR,Y,true,,"Fruit, groenten, aardappelen en noten > Fruit",https://www.collectandgo.be/wcsstore/CollectAndGoSFAS/images/JPG/200x200/std.lang.all/47/81/asset-2404781.jpg,3074457345616716178
3010360,15840-P,HASS Avocado Ready2Eat,HASS Avocado Ready2Eat 0,"1,39","1,39",EUR,Y,true,,"Fruit, groenten, aardappelen en noten > Fruit",https://www.collectandgo.be/wcsstore/CollectAndGoSFAS/images/JPG/200x200/std.lang.all/18/87/asset-2371887.jpg,3074457345616704212
29015,29015-P,EVERYDAY bananen ±1kg,EVERYDAY bananen ±1kg,"1,15","1,15",EUR,Y,true,,"Fruit, groenten, aardappelen en noten > Fruit",https://www.collectandgo.be/wcsstore/CollectAndGoSFAS/images/JPG/200x200/std.lang.all/17/16/asset-1761716.jpg,3074457345616679548
29762,29762-P,mango ready to eat,mango ready to eat 0,"1,79","1,79",EUR,Y,true,,"Fruit, groenten, aardappelen en noten > Fruit",https://www.collectandgo.be/wcsstore/CollectAndGoSFAS/images/JPG/200x200/std.lang.all/01/27/asset-2890127.jpg,3074457345616676672
28216,28216-P,BONI sinaasappelen,BONI sinaasappelen,"2,02","2,02",EUR,Y,true,,"Fruit, groenten, aardappelen en noten > Fruit",https://www.collectandgo.be/wcsstore/CollectAndGoSFAS/images/JPG/200x200/std.lang.all/63/94/asset-1166394.jpg,3074457345616681070
4107013,8616-P,BONI witte druiven pitloos 500g,BONI witte druiven pitloos 500g,"2,05","4,10",EUR,Y,true,,"Fruit, groenten, aardappelen en noten > Fruit",https://www.collectandgo.be/wcsstore/CollectAndGoSFAS/images/JPG/200x200/std.lang.all/45/75/asset-2534575.jpg,3074457345616738128
28453,28453-P,Citroenen,Citroenen,"2,78","2,78",EUR,Y,true,,"Fruit, groenten, aardappelen en noten > Fruit",https://www.collectandgo.be/wcsstore/CollectAndGoSFAS/images/JPG/200x200/std.lang.all/06/40/asset-1700640.jpg,3074457345616681078
1007281,29581-P,BONI BIO bananen Fairtrade ±1kg,BONI BIO bananen Fairtrade ±1kg,"2,27","2,27",EUR,Y,true,,"Fruit, groenten, aardappelen en noten > Fruit",https://www.collectandgo.be/wcsstore/CollectAndGoSFAS/images/JPG/200x200/std.lang.all/48/82/asset-2434882.jpg,3074457345616681588
29231,29231-P,BONI meloen Charentais,BONI meloen Charentais,"3,88","3,88",EUR,Y,true,,"Fruit, groenten, aardappelen en noten > Fruit",https://www.collectandgo.be/wcsstore/CollectAndGoSFAS/images/JPG/200x200/std.lang.all/99/38/asset-1489938.jpg,3074457345616681196
4254900,21718-P,BONI rode druiven pitloos 500g,BONI rode druiven pitloos 500g,"2,33","4,66",EUR,Y,true,,"Fruit, groenten, aardappelen en noten > Fruit",https://www.collectandgo.be/wcsstore/CollectAndGoSFAS/images/JPG/200x200/std.lang.all/45/77/asset-2534577.jpg,3074457345616749724
29769,29769-P,Limoenen,Limoenen,"3,99","3,99",EUR,Y,true,,"Fruit, groenten, aardappelen en noten > Fruit",https://www.collectandgo.be/wcsstore/CollectAndGoSFAS/images/JPG/200x200/std.lang.all/83/83/asset-1978383.jpg,3074457345616676680
4129846,9475-P,BONI druiven pitloos mix 500g,BONI druiven pitloos mix 500g,"2,39","4,78",EUR,Y,true,,"Fruit, groenten, aardappelen en noten > Fruit",https://www.collectandgo.be/wcsstore/CollectAndGoSFAS/images/JPG/200x200/std.lang.all/79/65/asset-3937965.jpg,3074457345616741914
2515747,28484-P,BONI BIO citroenen 500g,BONI BIO citroenen 500g,"1,89","3,78",EUR,Y,true,,"Fruit, groenten, aardappelen en noten > Fruit",https://www.collectandgo.be/wcsstore/CollectAndGoSFAS/images/JPG/200x200/std.lang.all/72/94/asset-2217294.jpg,3074457345616696618
28312,28312-P,PAPILLON sinaasappelen,PAPILLON sinaasappelen,"3,69","3,69",EUR,Y,true,,"Fruit, groenten, aardappelen en noten > Fruit",https://www.collectandgo.be/wcsstore/CollectAndGoSFAS/images/JPG/200x200/std.lang.all/81/15/asset-3248115.jpg,3074457345616681072
4725697,10746-P,ZESPRI Kiwi Sungold 6st,ZESPRI Kiwi Sungold 6st,"5,39","0,90",EUR,Y,true,,"Fruit, groenten, aardappelen en noten > Fruit",https://www.collectandgo.be/wcsstore/CollectAndGoSFAS/images/JPG/200x200/std.lang.all/55/27/asset-3515527.jpg,3074457345616816100
2516855,39636-P,EVERYDAY eetappelen 2kg,EVERYDAY eetappelen 2kg,"2,79","1,40",EUR,Y,true,,"Fruit, groenten, aardappelen en noten > Fruit",https://www.collectandgo.be/wcsstore/CollectAndGoSFAS/images/JPG/200x200/std.lang.all/37/63/asset-2913763.jpg,3074457345616693196
28517,28517-P,Kiwi Groen Bio 1st,Kiwi Groen Bio 1st,"0,70","0,70",EUR,Y,true,,"Fruit, groenten, aardappelen en noten > Fruit",https://www.collectandgo.be/wcsstore/CollectAndGoSFAS/images/JPG/200x200/std.lang.all/84/45/asset-2368445.jpg,3074457345616681080
2827355,23612-P,Mini watermeloen,Mini watermeloen,"2,39","2,39",EUR,Y,true,,"Fruit, groenten, aardappelen en noten > Fruit",https://www.collectandgo.be/wcsstore/CollectAndGoSFAS/images/JPG/200x200/std.lang.all/62/42/asset-2476242.jpg,3074457345616698720
28525,28525-P,Rode pompelmoezen,Rode pompelmoezen,"1,97","1,97",EUR,Y,true,,"Fruit, groenten, aardappelen en noten > Fruit",https://www.collectandgo.be/wcsstore/CollectAndGoSFAS/images/JPG/200x200/std.lang.all/22/05/asset-1882205.jpg,3074457345616678898
3658322,16468-P,BONI hass avocado 5st,BONI hass avocado 5st,"2,46","0,49",EUR,Y,true,,"Fruit, groenten, aardappelen en noten > Fruit",https://www.collectandgo.be/wcsstore/CollectAndGoSFAS/images/JPG/200x200/std.lang.all/37/33/asset-3373733.jpg,3074457345616721208
4257176,22412-P,BONI blauwe druiven pitloos 400g,BONI blauwe druiven pitloos 400g,"2,69","6,73",EUR,Y,true,,"Fruit, groenten, aardappelen en noten > Fruit",https://www.collectandgo.be/wcsstore/CollectAndGoSFAS/images/JPG/200x200/std.lang.all/01/63/asset-4040163.jpg,3074457345616708460
28696,28696-P,BONI Royal Gala 6st,BONI Royal Gala 6st,"2,19","2,19",EUR,Y,true,,"Fruit, groenten, aardappelen en noten > Fruit",https://www.collectandgo.be/wcsstore/CollectAndGoSFAS/images/JPG/200x200/std.lang.all/32/95/asset-3933295.jpg,3074457345616678920
29031,29031-P,DEL MONTE GOLD Ananas Extra,DEL MONTE GOLD Ananas Extra,"2,99","2,99",EUR,Y,true,,"Fruit, groenten, aardappelen en noten > Fruit",https://www.collectandgo.be/wcsstore/CollectAndGoSFAS/images/JPG/200x200/std.lang.all/88/17/asset-1458817.jpg,3074457345616679554
